pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,828.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,831.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,842.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,827.22
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,823.45
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,826.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,826.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,827.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,826.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,830.21
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,830.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,826.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,829.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,830.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,831.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,830.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,834.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,832.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,829.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,832.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,832.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,833.29
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,832.27
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,835.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,834.41
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,831.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,834.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,834.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,836.19
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,835.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,838.67
